Experiment,Train Size,Test Size,Hyperparameters,Best Cross-Validation Accuracy,Test Set Accuracy,Mean Cross-Validation Accuracy,Test Set F1 Score
XGBoost with GridSearchCV,37455,9364,"{'n_estimators': [150], 'learning_rate': [0.01], 'max_depth': [10], 'min_child_weight': [5], 'colsample_bynode': [1.0], 'grow_policy': ['lossguide'], 'reg_lambda': [1.0]}",0.7991189427312776,0.8020076890217855,0.7991189427312776,0.7624040121797399
XGBoost with GridSearchCV,37455,9364,"{'n_estimators': [150], 'learning_rate': [0.01], 'max_depth': [5], 'min_child_weight': [5], 'colsample_bynode': [1.0], 'grow_policy': ['lossguide'], 'reg_lambda': [1.0]}",0.801201441730076,0.8017941050832977,0.801201441730076,0.7574308665626878
XGBoost with GridSearchCV,37455,9364,"{'n_estimators': [150], 'learning_rate': [0.01], 'max_depth': [5], 'min_child_weight': [3], 'colsample_bynode': [1.0], 'grow_policy': ['lossguide'], 'reg_lambda': [1.0]}",0.8009878520891738,0.8017941050832977,0.8009878520891738,0.7572446224358838
XGBoost with GridSearchCV,37455,9364,"{'n_estimators': [200], 'learning_rate': [0.01], 'max_depth': [5], 'min_child_weight': [3], 'colsample_bynode': [1.0], 'grow_policy': ['lossguide'], 'reg_lambda': [1.0]}",0.8009878520891736,0.8017941050832977,0.8009878520891736,0.7574257454143571
XGBoost with GridSearchCV,37455,9364,"{'n_estimators': [100], 'learning_rate': [0.01], 'max_depth': [5], 'min_child_weight': [3], 'colsample_bynode': [1.0], 'grow_policy': ['lossguide'], 'reg_lambda': [1.0]}",0.8013082365505273,0.8016873131140538,0.8013082365505273,0.75718714979714
XGBoost with GridSearchCV,37455,9364,"{'n_estimators': [100], 'learning_rate': [0.01], 'max_depth': [5], 'min_child_weight': [3], 'colsample_bynode': [1.0], 'grow_policy': ['lossguide'], 'reg_lambda': [0.7]}",0.8013883326658657,0.8015805211448099,0.8013883326658657,0.7570012646318953
XGBoost with GridSearchCV,37455,9364,"{'n_estimators': [100], 'learning_rate': [0.01], 'max_depth': [3], 'min_child_weight': [3], 'colsample_bynode': [1.0], 'grow_policy': ['lossguide'], 'reg_lambda': [0.7]}",0.799599519423308,0.8010465612985903,0.799599519423308,0.7568073273552306
XGBoost with GridSearchCV,37455,9364,"{'n_estimators': [150], 'learning_rate': [0.1], 'max_depth': [10], 'min_child_weight': [5], 'colsample_bynode': [1.0], 'grow_policy': ['lossguide'], 'reg_lambda': [1.0]}",0.6106463414634147,0.7696497223408799,0.6106463414634147,0.7737262889287685
XGBoost with GridSearchCV,37455,9364,"{'n_estimators': [150], 'learning_rate': [0.01], 'max_depth': [5], 'min_child_weight': [5], 'colsample_bynode': [1.0], 'grow_policy': ['lossguide'], 'reg_lambda': [1.0]}",0.5975365853658536,0.7703972661255873,0.5975365853658536,0.7752046051120427
XGBoost with GridSearchCV,37455,9364,"{'n_estimators': [200], 'learning_rate': [0.01], 'max_depth': [3], 'min_child_weight': [3], 'colsample_bynode': [1.0], 'grow_policy': ['lossguide'], 'reg_lambda': [1.0]}",0.5944878048780488,0.7686885946176848,0.5944878048780488,0.7745592542588697
